
2024/11/05 (14:29:08) | ===> btop++ v.1.4.0
2024/11/05 (14:29:08) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/06 (12:51:01) | ===> btop++ v.1.4.0
2025/02/06 (12:51:01) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/06 (13:58:38) | ===> btop++ v.1.4.0
2025/02/06 (13:58:38) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/06 (14:36:14) | ===> btop++ v.1.4.0
2025/02/06 (14:36:14) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/17 (22:47:10) | ===> btop++ v.1.4.0
2025/02/17 (22:47:10) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/18 (13:48:55) | ===> btop++ v.1.4.0
2025/02/18 (13:48:55) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/22 (17:34:43) | ===> btop++ v.1.4.0
2025/02/22 (17:34:43) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/24 (11:49:10) | ===> btop++ v.1.4.0
2025/02/24 (11:49:10) | WARNING: Failed to set locale UTF-8 continuing anyway.
2025/02/24 (11:58:49) | ERROR: Stall in Runner thread, restarting!

2025/02/24 (12:20:59) | ===> btop++ v.1.4.0
2025/02/24 (12:20:59) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/25 (10:43:28) | ===> btop++ v.1.4.0
2025/02/25 (10:43:28) | WARNING: Failed to set locale UTF-8 continuing anyway.
